operation_id,date_id,entity_id,bu_id,bu_name,kpi_id,geo_id,revenue,cost,quantity,duration_days,status,perf_score
OP0000022,20210102,ENT010,BU002,FinServ Risk,KPI012,GEO007,167197.45,56946.3,1,23,Terminé,85.7
OP0000023,20210102,ENT013,BU002,FinServ Risk,KPI009,GEO010,200265.42,84174.56,1,27,Terminé,77.5
OP0000024,20210102,ENT008,BU002,FinServ Risk,KPI008,GEO006,207023.26,79968.98,1,27,Terminé,83.6
OP0000025,20210102,ENT016,BU003,MedOps,KPI016,GEO011,75078.08,63625.88,7,9,Terminé,28.9
OP0000026,20210102,ENT018,BU003,MedOps,KPI018,GEO014,46598.51,37960.14,20,11,Terminé,39.2
OP0000027,20210102,ENT017,BU003,MedOps,KPI016,GEO013,54137.17,39217.63,15,15,Terminé,33.3
OP0000028,20210102,ENT015,BU003,MedOps,KPI014,GEO012,62045.04,42561.14,15,18,Terminé,46.4
OP0000029,20210102,ENT019,BU003,MedOps,KPI017,GEO015,48176.03,33145.79,10,14,En cours,51.9
OP0000030,20210103,ENT004,BU001,AeroMRO,KPI003,GEO004,60449.17,45424.14,5,5,En retard,32.9
OP0000031,20210103,ENT002,BU001,AeroMRO,KPI005,GEO002,101602.82,76509.38,3,9,Terminé,46.4
OP0000032,20210103,ENT001,BU001,AeroMRO,KPI001,GEO001,92746.66,56296.18,5,4,Terminé,67.8
OP0000033,20210103,ENT007,BU001,AeroMRO,KPI006,GEO001,103940.02,64726.59,1,8,Terminé,46.2
OP0000034,20210103,ENT004,BU001,AeroMRO,KPI004,GEO004,104649.55,79125.88,3,11,En retard,46.8
OP0000035,20210103,ENT012,BU002,FinServ Risk,KPI009,GEO009,323293.88,129586.68,2,18,En cours,86.2
OP0000036,20210103,ENT008,BU002,FinServ Risk,KPI012,GEO006,471753.77,201675.32,1,24,Terminé,78.4
OP0000037,20210103,ENT012,BU002,FinServ Risk,KPI009,GEO009,175958.75,87658.14,1,25,Terminé,69.1
OP0000038,20210103,ENT014,BU003,MedOps,KPI015,GEO011,52138.01,41805.5,9,14,Terminé,40.0
OP0000039,20210103,ENT014,BU003,MedOps,KPI018,GEO011,69683.57,50593.76,7,9,En retard,38.8
OP0000040,20210103,ENT015,BU003,MedOps,KPI017,GEO012,64651.64,48907.25,15,4,En cours,53.3
OP0000041,20210103,ENT016,BU003,MedOps,KPI018,GEO011,57464.31,39844.28,17,17,Terminé,47.2
OP0000042,20210103,ENT015,BU003,MedOps,KPI015,GEO012,67086.71,55321.97,7,6,Terminé,42.1
OP0000043,20210104,ENT007,BU001,AeroMRO,KPI005,GEO001,93895.92,64841.79,1,2,Terminé,35.1
OP0000044,20210104,ENT004,BU001,AeroMRO,KPI001,GEO004,92550.46,58181.31,2,3,Annulé,50.3
OP0000045,20210104,ENT007,BU001,AeroMRO,KPI003,GEO001,53480.07,37512.97,2,5,Terminé,46.5
OP0000046,20210104,ENT005,BU001,AeroMRO,KPI001,GEO005,71387.59,47109.46,6,3,Terminé,51.8
OP0000047,20210104,ENT007,BU001,AeroMRO,KPI001,GEO001,100241.53,60520.59,7,14,Terminé,72.3
OP0000048,20210104,ENT002,BU001,AeroMRO,KPI002,GEO002,116518.71,85026.73,3,12,Terminé,46.0
OP0000049,20210104,ENT005,BU001,AeroMRO,KPI002,GEO005,110210.39,70786.57,2,6,Terminé,39.6
OP0000050,20210104,ENT005,BU001,AeroMRO,KPI004,GEO005,73813.62,57550.86,2,5,Annulé,33.9
OP0000051,20210104,ENT007,BU001,AeroMRO,KPI006,GEO001,95605.34,55763.38,4,13,Terminé,70.1
OP0000052,20210104,ENT010,BU002,FinServ Risk,KPI010,GEO007,354352.89,128767.04,1,22,Terminé,92.6
OP0000053,20210104,ENT011,BU002,FinServ Risk,KPI011,GEO008,178845.56,74263.47,1,15,Terminé,72.0
OP0000054,20210104,ENT009,BU002,FinServ Risk,KPI007,GEO006,232794.55,74535.54,2,11,Terminé,80.1
OP0000055,20210104,ENT012,BU002,FinServ Risk,KPI008,GEO009,217796.44,93752.49,2,19,Terminé,66.9
OP0000056,20210104,ENT008,BU002,FinServ Risk,KPI012,GEO006,346053.1,145625.6,1,21,Terminé,83.2
OP0000057,20210104,ENT008,BU002,FinServ Risk,KPI007,GEO006,268924.78,100035.35,1,28,Terminé,82.3
OP0000058,20210104,ENT018,BU003,MedOps,KPI014,GEO014,58214.88,41123.63,10,9,Terminé,41.3
OP0000059,20210104,ENT015,BU003,MedOps,KPI017,GEO012,45159.53,36555.38,13,5,Terminé,27.3
OP0000060,20210104,ENT018,BU003,MedOps,KPI017,GEO014,67494.0,52072.36,16,16,Terminé,42.5
OP0000061,20210104,ENT017,BU003,MedOps,KPI016,GEO013,41565.07,29543.93,15,7,Terminé,49.6
OP0000062,20210104,ENT019,BU003,MedOps,KPI016,GEO015,53686.48,40705.78,18,12,Terminé,34.3
OP0000063,20210104,ENT017,BU003,MedOps,KPI018,GEO013,62206.46,45774.41,10,2,Terminé,50.5
OP0000064,20210104,ENT019,BU003,MedOps,KPI013,GEO015,66381.25,53566.06,18,2,Terminé,33.3
OP0000065,20210105,ENT003,BU001,AeroMRO,KPI001,GEO003,95733.33,64351.12,3,5,Terminé,54.1
OP0000066,20210105,ENT005,BU001,AeroMRO,KPI004,GEO005,72885.59,58712.49,1,4,Terminé,23.6
OP0000067,20210105,ENT003,BU001,AeroMRO,KPI004,GEO003,112412.22,81779.86,4,5,En cours,47.7
OP0000068,20210105,ENT008,BU002,FinServ Risk,KPI010,GEO006,85798.58,48187.44,1,26,En cours,69.0
OP0000069,20210105,ENT012,BU002,FinServ Risk,KPI007,GEO009,302107.31,159703.13,1,2,Terminé,68.2
OP0000070,20210105,ENT018,BU003,MedOps,KPI013,GEO014,71315.32,51103.36,8,3,Annulé,54.9
OP0000071,20210105,ENT015,BU003,MedOps,KPI014,GEO012,23443.86,20159.43,10,14,Terminé,26.8
OP0000072,20210105,ENT015,BU003,MedOps,KPI016,GEO012,43764.86,32676.0,18,2,Terminé,46.6
OP0000073,20210106,ENT001,BU001,AeroMRO,KPI004,GEO001,90643.05,66986.15,3,6,Annulé,41.8
OP0000074,20210106,ENT007,BU001,AeroMRO,KPI004,GEO001,134765.23,94925.07,2,6,Terminé,60.4
OP0000075,20210106,ENT006,BU001,AeroMRO,KPI005,GEO002,113258.23,89356.81,2,12,Terminé,43.1
OP0000076,20210106,ENT002,BU001,AeroMRO,KPI002,GEO002,60193.01,43762.75,2,6,Terminé,31.9
OP0000077,20210106,ENT001,BU001,AeroMRO,KPI005,GEO001,109902.01,62797.14,1,13,Terminé,64.3
OP0000078,20210106,ENT013,BU002,FinServ Risk,KPI009,GEO010,347355.21,132851.54,1,2,Terminé,94.9
OP0000079,20210106,ENT011,BU002,FinServ Risk,KPI011,GEO008,243836.81,126557.48,1,30,En cours,62.9
OP0000080,20210106,ENT009,BU002,FinServ Risk,KPI007,GEO006,253419.5,107388.65,1,17,Terminé,84.1
OP0000081,20210106,ENT009,BU002,FinServ Risk,KPI007,GEO006,167590.37,68479.04,1,20,Terminé,85.1
OP0000082,20210106,ENT009,BU002,FinServ Risk,KPI010,GEO006,309929.19,102285.51,1,4,Annulé,100.0
OP0000083,20210106,ENT012,BU002,FinServ Risk,KPI008,GEO009,279585.12,100684.49,2,19,Terminé,87.7
OP0000084,20210106,ENT012,BU002,FinServ Risk,KPI007,GEO009,347343.77,147760.56,3,14,Terminé,93.0
OP0000085,20210106,ENT012,BU002,FinServ Risk,KPI011,GEO009,233082.87,116011.33,1,11,Annulé,81.2
OP0000086,20210106,ENT015,BU003,MedOps,KPI018,GEO012,69876.37,43804.67,6,11,Terminé,38.5
OP0000087,20210106,ENT017,BU003,MedOps,KPI014,GEO013,49958.9,39978.51,19,10,Terminé,34.6
OP0000088,20210106,ENT014,BU003,MedOps,KPI013,GEO011,78429.23,51245.1,3,15,Terminé,51.1
OP0000089,20210107,ENT005,BU001,AeroMRO,KPI001,GEO005,96581.96,60229.21,1,3,Terminé,46.7
OP0000090,20210107,ENT005,BU001,AeroMRO,KPI003,GEO005,87996.42,64880.51,1,4,Annulé,45.6
OP0000091,20210107,ENT001,BU001,AeroMRO,KPI002,GEO001,78644.85,49737.17,2,7,Terminé,45.8
OP0000092,20210107,ENT004,BU001,AeroMRO,KPI005,GEO004,78177.01,47541.58,6,13,Terminé,57.3
OP0000093,20210107,ENT007,BU001,AeroMRO,KPI006,GEO001,75255.49,52139.92,2,10,Terminé,45.1
OP0000094,20210107,ENT012,BU002,FinServ Risk,KPI009,GEO009,442931.34,175020.8,1,30,Terminé,65.0
OP0000095,20210107,ENT009,BU002,FinServ Risk,KPI009,GEO006,321112.17,109488.05,1,4,En cours,96.8
OP0000096,20210107,ENT013,BU002,FinServ Risk,KPI011,GEO010,175218.52,74705.92,2,5,Terminé,59.2
OP0000097,20210107,ENT012,BU002,FinServ Risk,KPI008,GEO009,188159.53,65411.15,1,23,Terminé,87.9
OP0000098,20210107,ENT019,BU003,MedOps,KPI018,GEO015,57273.34,46605.58,17,9,Terminé,37.6
OP0000099,20210107,ENT016,BU003,MedOps,KPI013,GEO011,40890.39,30658.36,23,3,Terminé,48.1
OP0000100,20210107,ENT016,BU003,MedOps,KPI013,GEO011,47392.43,40792.69,10,1,Terminé,21.4
OP0000101,20210108,ENT002,BU001,AeroMRO,KPI006,GEO002,76237.15,49613.04,1,6,Terminé,45.0
OP0000102,20210108,ENT004,BU001,AeroMRO,KPI005,GEO004,90220.43,56851.77,3,13,Terminé,54.0
OP0000103,20210108,ENT001,BU001,AeroMRO,KPI001,GEO001,84471.04,52840.54,1,3,Annulé,61.0
OP0000104,20210108,ENT006,BU001,AeroMRO,KPI002,GEO002,99268.34,61680.06,3,10,Terminé,61.4
OP0000105,20210108,ENT003,BU001,AeroMRO,KPI005,GEO003,55861.89,39807.28,1,10,Terminé,49.1
OP0000106,20210108,ENT002,BU001,AeroMRO,KPI001,GEO002,73984.82,42297.64,1,6,Terminé,61.8
OP0000107,20210108,ENT008,BU002,FinServ Risk,KPI009,GEO006,247713.62,80040.9,1,7,Terminé,91.6
OP0000108,20210108,ENT013,BU002,FinServ Risk,KPI007,GEO010,184166.93,71684.32,2,12,Terminé,78.7
OP0000109,20210108,ENT011,BU002,FinServ Risk,KPI011,GEO008,319855.37,105431.83,1,24,Terminé,100.0
OP0000110,20210108,ENT015,BU003,MedOps,KPI014,GEO012,56545.94,42763.29,14,6,En cours,51.9
OP0000111,20210108,ENT014,BU003,MedOps,KPI014,GEO011,52202.24,39567.26,9,11,Terminé,43.8
OP0000112,20210108,ENT017,BU003,MedOps,KPI018,GEO013,49222.82,35817.77,14,8,Terminé,51.0
OP0000113,20210108,ENT019,BU003,MedOps,KPI013,GEO015,20878.4,16186.07,10,13,En cours,44.6
OP0000114,20210108,ENT017,BU003,MedOps,KPI014,GEO013,50248.16,42262.41,8,7,En cours,11.2
OP0000115,20210108,ENT017,BU003,MedOps,KPI015,GEO013,69773.9,48210.4,4,10,En cours,47.2
OP0000116,20210109,ENT007,BU001,AeroMRO,KPI002,GEO001,92553.89,66096.08,1,5,Terminé,41.1
OP0000117,20210109,ENT002,BU001,AeroMRO,KPI004,GEO002,99437.56,75059.41,4,7,Terminé,40.1
OP0000118,20210109,ENT001,BU001,AeroMRO,KPI003,GEO001,79502.1,55987.7,1,7,Terminé,39.0
OP0000119,20210109,ENT004,BU001,AeroMRO,KPI006,GEO004,119445.43,84104.16,2,15,Terminé,52.1
OP0000120,20210109,ENT001,BU001,AeroMRO,KPI001,GEO001,114989.5,75125.14,2,6,Terminé,47.2
OP0000121,20210109,ENT010,BU002,FinServ Risk,KPI007,GEO007,110702.38,59744.25,1,4,Terminé,64.8
OP0000122,20210109,ENT010,BU002,FinServ Risk,KPI012,GEO007,275397.49,90870.4,3,26,Terminé,91.4
OP0000123,20210109,ENT012,BU002,FinServ Risk,KPI011,GEO009,261751.58,125133.31,1,4,Terminé,74.4
OP0000124,20210109,ENT012,BU002,FinServ Risk,KPI008,GEO009,189762.04,86857.4,2,9,Terminé,85.8
OP0000125,20210109,ENT011,BU002,FinServ Risk,KPI007,GEO008,380454.93,144231.51,1,17,Annulé,83.5
OP0000126,20210109,ENT012,BU002,FinServ Risk,KPI012,GEO009,257457.99,130669.03,1,24,Annulé,81.3
OP0000127,20210109,ENT019,BU003,MedOps,KPI018,GEO015,66783.7,39238.65,10,7,Terminé,64.5
OP0000128,20210109,ENT014,BU003,MedOps,KPI018,GEO011,73051.88,50603.54,4,11,Terminé,44.8
OP0000129,20210110,ENT006,BU001,AeroMRO,KPI001,GEO002,35312.27,23897.31,2,13,Annulé,54.4
OP0000130,20210110,ENT005,BU001,AeroMRO,KPI003,GEO005,126229.12,94368.12,2,12,Terminé,31.4
OP0000131,20210110,ENT011,BU002,FinServ Risk,KPI012,GEO008,190396.5,90236.98,1,10,Terminé,74.4
OP0000132,20210110,ENT009,BU002,FinServ Risk,KPI010,GEO006,458594.15,151992.61,2,22,Annulé,69.0
OP0000133,20210110,ENT013,BU002,FinServ Risk,KPI012,GEO010,86729.87,27818.5,1,29,Terminé,93.1
OP0000134,20210110,ENT012,BU002,FinServ Risk,KPI009,GEO009,276187.38,110368.43,1,13,Terminé,86.3
OP0000135,20210110,ENT014,BU003,MedOps,KPI015,GEO011,61279.74,42645.39,11,10,Terminé,46.7
OP0000136,20210110,ENT018,BU003,MedOps,KPI017,GEO014,43432.95,30360.41,12,11,Terminé,45.1
OP0000137,20210110,ENT017,BU003,MedOps,KPI018,GEO013,61507.16,41595.57,10,7,Terminé,47.0
OP0000138,20210111,ENT007,BU001,AeroMRO,KPI006,GEO001,101112.03,66878.25,3,4,Terminé,40.6
OP0000139,20210111,ENT003,BU001,AeroMRO,KPI005,GEO003,107730.54,72061.59,1,12,Terminé,58.1
OP0000140,20210111,ENT003,BU001,AeroMRO,KPI001,GEO003,75163.13,44759.06,1,15,Annulé,63.4
OP0000141,20210111,ENT002,BU001,AeroMRO,KPI006,GEO002,63641.41,49976.82,1,6,Terminé,49.3
OP0000142,20210111,ENT002,BU001,AeroMRO,KPI002,GEO002,93470.35,63017.45,1,2,Terminé,52.3
OP0000143,20210111,ENT004,BU001,AeroMRO,KPI005,GEO004,88497.31,66036.52,3,15,Terminé,41.7
OP0000144,20210111,ENT011,BU002,FinServ Risk,KPI010,GEO008,277624.14,78619.42,1,29,Terminé,100.0
OP0000145,20210111,ENT015,BU003,MedOps,KPI018,GEO012,29556.11,23308.84,22,13,Terminé,41.1
OP0000146,20210111,ENT015,BU003,MedOps,KPI014,GEO012,46962.78,36954.34,20,1,En cours,48.1
OP0000147,20210111,ENT014,BU003,MedOps,KPI016,GEO011,38943.63,30598.82,11,8,Terminé,42.2
OP0000148,20210111,ENT019,BU003,MedOps,KPI017,GEO015,59754.21,34903.6,10,15,Terminé,61.5
OP0000149,20210112,ENT002,BU001,AeroMRO,KPI001,GEO002,116076.24,72776.71,4,9,Terminé,40.7
OP0000150,20210112,ENT004,BU001,AeroMRO,KPI006,GEO004,130876.29,86604.35,3,10,En retard,52.0
OP0000151,20210112,ENT005,BU001,AeroMRO,KPI003,GEO005,101401.34,59710.1,2,14,En cours,54.1
OP0000152,20210112,ENT012,BU002,FinServ Risk,KPI012,GEO009,267387.63,105139.98,2,29,Terminé,82.4
OP0000153,20210112,ENT012,BU002,FinServ Risk,KPI010,GEO009,128363.81,49801.24,1,29,Terminé,87.7
OP0000154,20210112,ENT011,BU002,FinServ Risk,KPI010,GEO008,165977.53,82052.42,1,9,Terminé,79.8
OP0000155,20210112,ENT019,BU003,MedOps,KPI015,GEO015,52883.5,41960.26,12,17,Terminé,24.1
OP0000156,20210112,ENT015,BU003,MedOps,KPI015,GEO012,59702.97,47328.99,14,15,Terminé,43.5
OP0000157,20210113,ENT003,BU001,AeroMRO,KPI002,GEO003,105619.69,72669.61,3,6,Terminé,45.7
OP0000158,20210113,ENT005,BU001,AeroMRO,KPI001,GEO005,111831.39,75505.76,2,4,Terminé,56.1
OP0000159,20210113,ENT004,BU001,AeroMRO,KPI006,GEO004,61146.8,43418.02,1,4,Terminé,55.0
OP0000160,20210113,ENT001,BU001,AeroMRO,KPI004,GEO001,84029.45,57820.59,3,8,Terminé,32.0
OP0000161,20210113,ENT011,BU002,FinServ Risk,KPI010,GEO008,259582.72,131151.17,1,2,Terminé,80.6
OP0000162,20210113,ENT011,BU002,FinServ Risk,KPI010,GEO008,436911.85,170820.7,1,29,Terminé,94.7
OP0000163,20210113,ENT013,BU002,FinServ Risk,KPI007,GEO010,379365.77,143465.21,1,28,En cours,82.4
OP0000164,20210113,ENT012,BU002,FinServ Risk,KPI010,GEO009,145443.96,50397.47,1,16,Terminé,82.3
OP0000165,20210113,ENT010,BU002,FinServ Risk,KPI009,GEO007,250225.21,109783.1,2,25,Terminé,69.4
OP0000166,20210113,ENT011,BU002,FinServ Risk,KPI011,GEO008,331745.79,133654.04,1,24,Terminé,87.1
OP0000167,20210113,ENT018,BU003,MedOps,KPI014,GEO014,58337.53,53779.68,8,16,Terminé,15.1
OP0000168,20210113,ENT017,BU003,MedOps,KPI016,GEO013,44652.89,31753.41,8,1,Terminé,54.2
OP0000169,20210113,ENT019,BU003,MedOps,KPI018,GEO015,75307.56,53471.97,7,13,Terminé,48.6
OP0000170,20210113,ENT017,BU003,MedOps,KPI014,GEO013,45716.65,36312.98,13,20,Terminé,22.6
OP0000171,20210113,ENT017,BU003,MedOps,KPI017,GEO013,77212.58,67615.94,8,19,Terminé,21.8
OP0000172,20210114,ENT001,BU001,AeroMRO,KPI006,GEO001,61663.62,39226.95,2,8,Terminé,68.0
OP0000173,20210114,ENT004,BU001,AeroMRO,KPI002,GEO004,78897.77,54709.87,2,2,Terminé,56.3
OP0000174,20210114,ENT003,BU001,AeroMRO,KPI002,GEO003,139788.65,90603.72,2,9,Terminé,60.6
OP0000175,20210114,ENT007,BU001,AeroMRO,KPI004,GEO001,102887.83,81363.95,4,6,Terminé,32.2
OP0000176,20210114,ENT007,BU001,AeroMRO,KPI004,GEO001,101063.1,75445.85,4,6,En cours,44.5
OP0000177,20210114,ENT004,BU001,AeroMRO,KPI001,GEO004,110583.49,82955.06,5,13,Terminé,45.2
OP0000178,20210114,ENT003,BU001,AeroMRO,KPI002,GEO003,85907.64,59173.42,5,12,Terminé,40.8
OP0000179,20210114,ENT013,BU002,FinServ Risk,KPI007,GEO010,318420.22,95796.26,1,25,Terminé,94.6
OP0000180,20210114,ENT009,BU002,FinServ Risk,KPI008,GEO006,313264.34,97732.25,2,27,Terminé,94.3
OP0000181,20210114,ENT009,BU002,FinServ Risk,KPI008,GEO006,274326.44,106408.38,1,5,Terminé,83.8
OP0000182,20210114,ENT008,BU002,FinServ Risk,KPI011,GEO006,349718.56,106552.41,1,7,Terminé,96.7
OP0000183,20210114,ENT016,BU003,MedOps,KPI015,GEO011,55994.55,39251.7,17,6,Terminé,33.7
OP0000184,20210114,ENT019,BU003,MedOps,KPI018,GEO015,45616.17,35416.62,19,4,Terminé,36.3
OP0000185,20210115,ENT002,BU001,AeroMRO,KPI003,GEO002,98050.29,63720.6,1,3,Terminé,57.7
OP0000186,20210115,ENT003,BU001,AeroMRO,KPI005,GEO003,94126.01,60820.02,1,12,Annulé,59.4
OP0000187,20210115,ENT004,BU001,AeroMRO,KPI004,GEO004,102254.02,68924.27,6,13,Terminé,40.6
OP0000188,20210115,ENT005,BU001,AeroMRO,KPI006,GEO005,58739.5,37504.32,2,15,Terminé,55.3
OP0000189,20210115,ENT001,BU001,AeroMRO,KPI006,GEO001,84425.28,59192.53,1,14,Terminé,57.4
OP0000190,20210115,ENT013,BU002,FinServ Risk,KPI011,GEO010,268721.69,128105.09,1,26,Terminé,84.3
OP0000191,20210115,ENT012,BU002,FinServ Risk,KPI007,GEO009,198888.62,112188.14,1,12,Terminé,50.9
OP0000192,20210115,ENT013,BU002,FinServ Risk,KPI009,GEO010,263248.35,96221.45,1,3,Terminé,80.9
OP0000193,20210115,ENT010,BU002,FinServ Risk,KPI007,GEO007,217305.33,58419.66,1,28,Terminé,78.3
OP0000194,20210115,ENT011,BU002,FinServ Risk,KPI007,GEO008,126287.77,60723.35,1,14,En retard,75.7
OP0000195,20210115,ENT013,BU002,FinServ Risk,KPI010,GEO010,175641.91,73099.19,1,23,Terminé,70.8
OP0000196,20210115,ENT009,BU002,FinServ Risk,KPI012,GEO006,373271.86,182973.76,1,17,En retard,71.4
OP0000197,20210115,ENT010,BU002,FinServ Risk,KPI011,GEO007,269670.62,69213.99,1,26,Annulé,93.7
OP0000198,20210115,ENT011,BU002,FinServ Risk,KPI010,GEO008,172870.4,68718.05,2,14,En cours,87.4
OP0000199,20210115,ENT018,BU003,MedOps,KPI015,GEO014,74990.33,61096.45,12,11,En cours,27.1
OP0000200,20210115,ENT014,BU003,MedOps,KPI015,GEO011,64473.35,50130.86,16,15,Terminé,41.8
OP0000201,20210115,ENT017,BU003,MedOps,KPI017,GEO013,69743.29,49694.43,18,20,Terminé,46.1
OP0000202,20210116,ENT003,BU001,AeroMRO,KPI001,GEO003,68618.48,44481.38,4,9,En cours,61.2
OP0000203,20210116,ENT002,BU001,AeroMRO,KPI004,GEO002,148550.21,100152.89,1,5,Terminé,55.1
OP0000204,20210116,ENT003,BU001,AeroMRO,KPI003,GEO003,66693.46,47609.57,1,6,En cours,46.0
OP0000205,20210116,ENT006,BU001,AeroMRO,KPI003,GEO002,111070.92,74790.27,4,10,Terminé,56.2
OP0000206,20210116,ENT009,BU002,FinServ Risk,KPI007,GEO006,270956.15,136499.0,2,8,Terminé,65.9
OP0000207,20210116,ENT011,BU002,FinServ Risk,KPI011,GEO008,339294.47,141458.42,1,25,Terminé,87.0
OP0000208,20210116,ENT011,BU002,FinServ Risk,KPI012,GEO008,305185.83,89690.64,2,23,Terminé,100.0
OP0000209,20210116,ENT008,BU002,FinServ Risk,KPI007,GEO006,202954.98,91667.52,1,10,Terminé,77.9
OP0000210,20210116,ENT019,BU003,MedOps,KPI014,GEO015,53616.69,44613.97,14,10,Terminé,27.2
OP0000211,20210116,ENT016,BU003,MedOps,KPI016,GEO011,65575.48,36105.99,17,18,Terminé,50.0
OP0000212,20210116,ENT017,BU003,MedOps,KPI018,GEO013,48563.39,32616.29,5,18,Terminé,58.7
OP0000213,20210117,ENT006,BU001,AeroMRO,KPI004,GEO002,47346.85,32917.92,2,6,Terminé,56.4
OP0000214,20210117,ENT002,BU001,AeroMRO,KPI001,GEO002,102228.48,60977.27,1,13,Terminé,62.6
OP0000215,20210117,ENT001,BU001,AeroMRO,KPI006,GEO001,106191.58,79999.43,5,10,Annulé,38.9
OP0000216,20210117,ENT006,BU001,AeroMRO,KPI002,GEO002,96503.11,73142.05,2,5,Terminé,42.1
OP0000217,20210117,ENT011,BU002,FinServ Risk,KPI009,GEO008,311210.36,132001.64,1,24,Terminé,78.5
OP0000218,20210117,ENT012,BU002,FinServ Risk,KPI011,GEO009,259290.82,67452.94,1,10,En retard,100.0
OP0000219,20210117,ENT015,BU003,MedOps,KPI015,GEO012,39922.98,31742.71,13,8,Terminé,29.4
OP0000220,20210117,ENT016,BU003,MedOps,KPI013,GEO011,70096.31,51767.72,14,18,Terminé,34.0
OP0000221,20210117,ENT014,BU003,MedOps,KPI013,GEO011,53536.69,47660.42,16,18,Terminé,25.6
OP0000222,20210117,ENT015,BU003,MedOps,KPI018,GEO012,47266.19,35672.97,12,16,Terminé,43.0
OP0000223,20210118,ENT001,BU001,AeroMRO,KPI005,GEO001,109352.85,72704.03,3,6,Terminé,61.7
OP0000224,20210118,ENT004,BU001,AeroMRO,KPI003,GEO004,100538.06,70510.66,1,4,En retard,38.4
OP0000225,20210118,ENT003,BU001,AeroMRO,KPI004,GEO003,110188.4,78696.23,4,3,En cours,49.4
OP0000226,20210118,ENT004,BU001,AeroMRO,KPI004,GEO004,115045.13,76426.32,3,3,Terminé,42.1
OP0000227,20210118,ENT006,BU001,AeroMRO,KPI001,GEO002,63689.55,37027.55,1,4,Terminé,72.7
OP0000228,20210118,ENT012,BU002,FinServ Risk,KPI009,GEO009,266575.5,97031.01,2,3,En retard,98.6
OP0000229,20210118,ENT008,BU002,FinServ Risk,KPI011,GEO006,73072.34,26697.76,1,25,Terminé,95.2
OP0000230,20210118,ENT012,BU002,FinServ Risk,KPI011,GEO009,216660.46,90651.86,1,8,Terminé,67.5
OP0000231,20210118,ENT017,BU003,MedOps,KPI016,GEO013,65383.93,50324.92,12,15,Terminé,37.1
OP0000232,20210118,ENT018,BU003,MedOps,KPI016,GEO014,42690.53,31179.15,3,10,Terminé,41.6
OP0000233,20210118,ENT014,BU003,MedOps,KPI017,GEO011,39171.13,26352.33,12,4,Annulé,60.4
OP0000234,20210118,ENT015,BU003,MedOps,KPI018,GEO012,67774.75,43380.24,7,7,Terminé,60.7
OP0000235,20210118,ENT014,BU003,MedOps,KPI014,GEO011,39262.69,28829.64,14,8,Terminé,34.1
OP0000236,20210118,ENT014,BU003,MedOps,KPI014,GEO011,55580.63,36495.26,8,1,Terminé,53.8
OP0000237,20210118,ENT019,BU003,MedOps,KPI017,GEO015,30105.09,23507.06,11,16,Terminé,40.7
